# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|17|031|0052|88101|1|7|105|120|19980604|00:00|4.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980605|00:00|9.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980606|00:00|11.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980607|00:00|8.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980608|00:00|19.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980609|00:00|33.8||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980610|00:00|29.1||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980611|00:00|23.1||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980612|00:00|11.7||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980613|00:00|15.5||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980614|00:00|20.0||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980615|00:00|19.4||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980616|00:00|15.9||1|||||||||||||
RD|I|17|031|0052|88101|1|7|105|120|19980617|00:00|20.3||1|||||||||||||
